Organization,Followed On
Unblocked,Thu Jan 11 00:13:17 UTC 2024
Bryq,Tue Oct 03 22:42:47 UTC 2023
Scaled Foundations,Thu Sep 07 15:07:15 UTC 2023
SafetyKit,Mon Jul 03 23:57:21 UTC 2023
ilkeli medya teknolojileri,Thu Apr 20 04:24:29 UTC 2023
Technical Leadership,Mon Mar 13 13:56:14 UTC 2023
Enterprise Architecture,Mon Mar 13 13:42:32 UTC 2023
Software Design,Mon Mar 13 12:55:15 UTC 2023
Distributed Systems,Mon Mar 13 12:18:48 UTC 2023
Web Applications,Mon Mar 13 11:56:37 UTC 2023
Thessaloniki .NET Meetup,Tue Dec 13 08:19:20 UTC 2022
myathlete,Fri Oct 28 19:43:44 UTC 2022
GitHub,Thu Jul 14 06:30:03 UTC 2022
Microsoft Research,Thu Jul 14 06:29:57 UTC 2022
AI Community,Thu Jul 14 06:29:51 UTC 2022
Open AI Research Organisation,Thu Jul 14 06:29:46 UTC 2022
The Alan Turing Institute,Thu Jul 14 06:29:32 UTC 2022
Apple,Thu Jul 14 06:29:30 UTC 2022
AI at Meta,Thu Jul 14 06:29:29 UTC 2022
DeepLearning.AI,Thu Jul 14 06:29:27 UTC 2022
Neuralink,Thu Jul 14 06:29:24 UTC 2022
Google DeepMind,Thu Jul 14 06:29:23 UTC 2022
OpenAI,Thu Jul 14 06:28:51 UTC 2022
Amazon Science,Tue Jul 12 15:47:30 UTC 2022
Eventual,Wed Jun 22 17:34:01 UTC 2022
Τμήμα Μηχανικών Πληροφορικής και Ηλεκτρονικών Συστημάτων,Mon Nov 22 22:41:34 UTC 2021
National Innovation Centre for Data,Mon May 10 15:33:12 UTC 2021
NASA - National Aeronautics and Space Administration,Tue Feb 26 21:18:02 UTC 2019
Amazon,Tue Feb 26 21:18:01 UTC 2019
Google,Tue Feb 26 21:17:58 UTC 2019
Netflix,Tue Feb 26 21:17:51 UTC 2019
Newcastle University,Wed Dec 07 13:52:49 UTC 2016
Alexander Technological Educational Institute of Thessaloniki,Tue Sep 06 20:40:44 UTC 2016
Meta,Tue Jan 13 07:00:57 UTC 2015
Microsoft,Thu Dec 30 05:20:12 UTC 2010
